Cuisines,0,1,2,3
north indian,495.0,2425.0,,1040.0
chinese,389.0,1638.0,,708.0
italian,239.0,,,
cafe,227.0,,4.0,
american,201.0,,,
fast food,,1304.0,,485.0
mughlai,,628.0,,273.0
bakery,,465.0,,203.0
kebab,,,10.0,
turkish pizza,,,8.0,
desserts,,,3.0,
world cuisine,,,2.0,
